Fuel.Type.Code,Station.Name,City,State,ZIP,Groups.With.Access.Code,Access.Days.Time,Date.Last.Confirmed,Open.Date,Restricted.Access
ELEC,Los Angeles Convention Center,Los Angeles,CA,90015,Public,5:30am-9pm; pay lot,2023-01-10,1995-08-30,false
ELEC,Scripps Green Hospital,La Jolla,CA,92037,Public,24 hours daily,2024-08-15,1997-07-30,false
ELEC,Galpin Motors,Sepulveda,CA,91343,Public - Call ahead,Dealership business hours; customer use only,2023-08-10,2012-12-11,true
ELEC,Galleria at Tyler,Riverside,CA,92503,Public,6am-12am daily,2023-09-14,1997-08-30,false
ELEC,City of Pasadena - Holly Street Garage,Pasadena,CA,91103,Public,24 hours daily; pay lot,2023-10-12,1997-08-30,false
ELEC,City of Pasadena - De Lacey Garage,Pasadena,CA,91105,Public,24 hours daily; pay lot,2023-01-10,1997-08-30,false
ELEC,City of Pasadena - Schoolhouse Garage,Pasadena,CA,91105,Public,24 hours daily; pay lot,2023-01-10,1997-08-30,false
ELEC,Hyatt Regency Long Beach,Long Beach,CA,90802,Public,24 hours daily; pay lot; see valet for access,2023-01-10,2012-05-04,false
ELEC,Los Angeles International Airport (LAX) - Lot 6,Los Angeles,CA,90045,Public,24 hours daily; pay lot,2024-08-15,1998-06-30,false
ELEC,Northridge Fashion Center East Garage Lower Level,Northridge,CA,91324,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,2024-11-16,1998-05-30,false
ELEC,Ontario Airport Hotel and Conference Center,Ontario,CA,91764,Public,24 hours daily; guest use only,2023-05-03,1998-06-15,true
ELEC,Courtyard Marriott - Oxnard Ventura,Oxnard,CA,93030,Public,24 hours daily; guest use only,2023-05-03,1998-05-30,true
ELEC,Hilton - Palm Springs,Palm Springs,CA,92262,Public,24 hours daily; pay lot; priority given to registered guests,2023-01-10,2011-12-12,true
ELEC,Inland Empire Foods,Riverside,CA,92509,Public,8am-4:30pm M-F,2023-05-03,1998-05-30,false
ELEC,Sacramento International Airport - Daily A Lot,Sacramento,CA,95837,Public,24 hours daily; pay lot,2023-10-12,1998-06-30,false
ELEC,City of Santa Monica - Airport,Santa Monica,CA,90405,Public,24 hours daily,2023-01-10,1998-06-30,false
ELEC,City of Santa Monica - Pier,Santa Monica,CA,90405,Public,24 hours daily; pay lot,2023-01-10,2019-04-08,false
ELEC,Westfield Parking Garage 1st Floor,Sherman Oaks,CA,91423,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,2024-11-16,1998-05-30,false
ELEC,Universal City Hilton,Universal City,CA,91608,Public - Call ahead,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,2024-07-11,1998-05-30,false
ELEC,Office Max - Home Depot,Downey,CA,90241,Public,24 hours daily,2024-07-11,1998-06-15,false
ELEC,Hyatt at Fisherman's Wharf,San Francisco,CA,94133,Public,24 hours daily; pay lot; see valet for access,2023-05-03,1998-07-01,false
ELEC,Arden Fair Mall,Sacramento,CA,95815,Public,24 hours daily,2023-01-10,2019-11-01,false
ELEC,Palace Hotel,San Francisco,CA,94105,Public,24 hours daily,2023-05-03,2002-01-31,false
ELEC,Mark Hopkins InterContinental Hotel,San Francisco,CA,94108,Public,24 hours daily; for guest use only; see valet for access,2024-08-15,2002-01-31,true
ELEC,California State University - Northridge,Northridge,CA,91330,Public,24 hours daily; parking permit required,2023-10-12,2002-01-15,true
ELEC,California State University - Northridge,Northridge,CA,91330,Public,24 hours daily; parking permit required,2023-10-12,2002-01-15,true
ELEC,California State University - Northridge,Northridge,CA,91330,Public,24 hours daily; parking permit required,2023-10-12,2002-01-15,true
ELEC,Los Angeles Harbor Department Headquarters,San Pedro,CA,90731,Public,8am-5pm daily,2024-07-11,2013-03-26,false
ELEC,Getty Center,Los Angeles,CA,90049,Public,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,2023-01-10,2013-07-01,false
