Date,County,State,Vehicle.Primary.Use,Battery.Electric.Vehicles..BEVs.,Plug.In.Hybrid.Electric.Vehicles..PHEVs.,Electric.Vehicle..EV..Total,Non.Electric.Vehicle.Total,Total.Vehicles,Percent.Electric.Vehicles
June 30 2024,Caddo,LA,Passenger,2,0,2,10,12,16.67
December 31 2017,Pend Oreille,WA,Truck,0,0,0,5619,5619,0
April 30 2017,Lincoln,WA,Truck,0,0,0,4464,4464,0
February 28 2022,El Paso,CO,Passenger,2,2,4,663,667,0.6
January 31 2017,DeKalb,GA,Passenger,1,0,1,92,93,1.08
July 31 2019,Manassas,VA,Passenger,0,1,1,9,10,10
March 31 2019,San Juan,WA,Passenger,197,70,267,14284,14551,1.83
July 31 2024,New York,NY,Passenger,2,0,2,26,28,7.14
March 31 2021,Asotin,WA,Truck,0,0,0,6721,6721,0
April 30 2017,Dakota,MN,Passenger,0,1,1,41,42,2.38
August 31 2022,Manassas,VA,Passenger,0,1,1,7,8,12.5
April 30 2024,Clallam,WA,Truck,30,0,30,21408,21438,0.14
June 30 2020,Suffolk,MA,Passenger,0,2,2,40,42,4.76
March 31 2021,Clinton,PA,Passenger,1,0,1,0,1,100
January 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50
December 31 2017,Ventura,CA,Passenger,0,1,1,345,346,0.29
May 31 2018,Marion,IN,Passenger,1,0,1,120,121,0.83
April 30 2022,Spartanburg,SC,Passenger,0,1,1,40,41,2.44
April 30 2020,Eagle,CO,Passenger,1,0,1,8,9,11.11
December 31 2017,Kitsap,WA,Truck,1,0,1,52697,52698,0
November 30 2017,Wahkiakum,WA,Truck,0,0,0,1661,1661,0
February 29 2024,Wahkiakum,WA,Truck,4,0,4,1745,1749,0.23
August 31 2019,Cumberland,NC,Passenger,1,2,3,511,514,0.58
May 31 2018,Juneau,AK,Passenger,0,1,1,48,49,2.04
July 31 2023,San Mateo,CA,Passenger,3,0,3,71,74,4.05
June 30 2020,Gwinnett,GA,Passenger,1,0,1,77,78,1.28
March 31 2022,Harris,TX,Passenger,1,0,1,191,192,0.52
